testing logger
TEBDEngine: subconfig 'trunc_params'=Config(<2 options>, 'trunc_params')
TEBDEngine: reading 'dt'=0.1
TEBDEngine: reading 'N_steps'=1
TEBDEngine: reading 'order'=4
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
trunc_params: reading 'chi_max'=100
trunc_params: reading 'svd_min'=1e-12
--> time=13.400, max(chi)=32, max(S)=1.78796, avg DeltaS=7.0436e-03, since last update: 0.0s
--> time=13.500, max(chi)=32, max(S)=1.79528, avg DeltaS=6.7995e-03, since last update: 0.0s
--> time=13.600, max(chi)=32, max(S)=1.80061, avg DeltaS=6.3435e-03, since last update: 0.0s
--> time=13.700, max(chi)=32, max(S)=1.80388, avg DeltaS=5.6932e-03, since last update: 0.0s
--> time=13.800, max(chi)=32, max(S)=1.80505, avg DeltaS=4.8745e-03, since last update: 0.0s
--> time=13.900, max(chi)=32, max(S)=1.80415, avg DeltaS=3.9206e-03, since last update: 0.0s
--> time=14.000, max(chi)=32, max(S)=1.80127, avg DeltaS=2.8697e-03, since last update: 0.0s
--> time=14.100, max(chi)=32, max(S)=1.79656, avg DeltaS=1.7633e-03, since last update: 0.0s
--> time=14.200, max(chi)=32, max(S)=1.79023, avg DeltaS=6.4440e-04, since last update: 0.0s
--> time=14.300, max(chi)=32, max(S)=1.78256, avg DeltaS=-4.4461e-04, since last update: 0.0s
--> time=14.400, max(chi)=32, max(S)=1.77385, avg DeltaS=-1.4633e-03, since last update: 0.0s
--> time=14.500, max(chi)=32, max(S)=1.76445, avg DeltaS=-2.3747e-03, since last update: 0.0s
--> time=14.600, max(chi)=32, max(S)=1.75476, avg DeltaS=-3.1465e-03, since last update: 0.0s
--> time=14.700, max(chi)=32, max(S)=1.74516, avg DeltaS=-3.7515e-03, since last update: 0.0s
--> time=14.800, max(chi)=32, max(S)=1.73605, avg DeltaS=-4.1682e-03, since last update: 0.0s
--> time=14.900, max(chi)=32, max(S)=1.72783, avg DeltaS=-4.3815e-03, since last update: 0.0s
--> time=15.000, max(chi)=32, max(S)=1.72087, avg DeltaS=-4.3823e-03, since last update: 0.0s
--> time=15.100, max(chi)=32, max(S)=1.71548, avg DeltaS=-4.1684e-03, since last update: 0.0s
